Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-12-21,63924.2421875,64274.512007705474,63048.5676369863,64011.809642551365,20367355
2020-12-22,63311.25390625,64099.36080134855,63136.11904067255,63486.38877182746,16304910
2020-12-23,64712.33984375,64799.90728602842,63311.26076729534,63398.82820957375,19411326
2020-12-24,68127.4609375,69003.13524260925,64799.89857808483,64887.46600859576,32502870
2020-12-28,68915.5625,70141.50643265565,68477.72538119441,69178.26477128336,40085044
2020-12-29,70290.859375,70829.48664990421,69393.14725015964,70739.71543742018,30339449
2020-12-30,72714.6953125,72984.00899884259,69393.15984760803,69482.9310763889,29417421
2021-01-04,74510.109375,75766.90640060241,71996.51532379517,72714.68505271085,38655276
2021-01-05,75318.0546875,75318.0546875,73253.31659713945,73253.31659713945,35335669
2021-01-06,73791.9453125,75856.68344168187,73702.1740894921,74779.42876558698,42089013
2021-01-07,74420.34375,75587.36964716527,74240.80130428227,74330.57252714114,32644642
2021-01-08,79716.8515625,80794.1063133446,74510.12026675112,74779.43395446228,59013307
2021-01-11,81691.8046875,86898.53509615385,80345.23647836539,80794.09254807692,90306177
2021-01-12,81332.7421875,82050.9120964404,78819.14750620861,81063.42847164735,48682416
2021-01-13,80524.78125,81871.34949832775,79986.15395066889,80614.55246655518,36068848
2021-01-14,80524.78125,80794.09489966555,79627.06908444816,79627.06908444816,26393970
2021-01-15,78998.703125,82410.01075994318,78998.703125,80614.58568892046,33431809
2021-01-18,76305.546875,78370.28520220588,75497.60579044119,77741.88658088236,43227951
2021-01-19,78100.9765625,78998.6889367816,75048.75448994253,75856.69562679598,39895044
2021-01-20,78280.4921875,79896.37390696675,77652.09374104072,79896.37390696675,25211127
2021-01-21,79088.453125,79537.30927213395,77652.1134541714,78549.82574843928,25318011
2021-01-22,77921.4140625,80524.77927887386,77921.4140625,79896.38077836981,30861661
2021-01-25,80255.4765625,80704.33269539989,77472.56853852069,78100.96712458054,27258534
2021-01-26,77831.65625,80075.93699538638,77652.11379036908,79716.85207612456,33178936
2021-01-27,76844.1640625,78729.35967618284,76844.1640625,77741.87625949182,26423070
2021-01-28,75138.515625,76844.16890681004,74689.65949820788,74689.65949820788,31859808
2021-01-29,73612.4140625,76305.55116234756,73612.4140625,75856.69497903963,39615978
2021-02-01,74510.109375,74869.19423945784,72714.68505271085,73343.08356551205,28046832
2021-02-02,75766.9140625,77562.3385663507,75138.51548615225,75497.6003869224,26302077
2021-02-03,75946.453125,76664.62289450354,74869.19847074468,76125.99556737588,22112205
2021-02-04,74061.2578125,75228.28369318182,73702.17292613637,74958.9700284091,24171688
2021-02-05,74958.9609375,75407.81699101797,74061.24883046407,74599.87609468563,18036835
2021-02-08,74510.109375,75587.3639683735,74510.109375,75228.27910391566,15338765
2021-02-09,74240.796875,76125.99244256348,74240.796875,75407.8227025393,20898332
2021-02-10,73253.3125,74151.0246629902,73253.3125,74151.0246629902,23025766
2021-02-15,75587.3671875,75856.68084731295,74779.42620806117,75228.28230774941,23529706
2021-02-16,76215.765625,77203.24904299175,75587.36708627797,75856.68074573026,20483100
2021-02-17,74689.65625,75587.36846454327,74510.11380709134,75318.05480018028,18307735
2021-02-18,73702.171875,75048.74017965895,73702.171875,74689.65529841656,21327683
2021-02-19,74151.0234375,74330.56586713075,72714.684000454,73881.70979305387,25880879
2021-02-22,73791.9453125,75587.36977265814,73791.9453125,75228.28488062652,25419886
2021-02-23,73612.4140625,74420.35519245427,72804.47293254573,72894.24416920732,20587314
2021-02-24,73612.4140625,75048.75384908536,72984.0154058689,73432.87158917682,26807651
2021-02-25,76574.859375,76664.63060521688,74510.12108001173,75407.83338218054,34155986
2021-02-26,74061.2578125,74869.19880681818,73612.40170454545,74330.57147727272,38520800
2021-03-02,75048.7421875,76574.85297360945,74510.11485122608,76395.31052818481,33498180
2021-03-03,75407.8203125,75407.8203125,74330.56573660714,74958.96423921132,19882132
2021-03-04,73971.5,74689.66990291262,73791.95752427184,74151.04247572816,24348331
2021-03-05,73702.171875,74151.02797655298,72804.45967189403,72804.45967189403,20508971
2021-03-08,73612.4140625,74510.12642911584,73253.32911585366,74420.35519245427,17641256
2021-03-09,73073.78125,73522.63740018428,72355.61140970516,73073.78125,25420764
2021-03-10,72624.8984375,74061.23759077565,72445.35604334055,73971.46639369593,20038422
2021-03-11,73612.4140625,74061.27024580793,72714.70169588414,72714.70169588414,23818297
2021-03-12,74330.5546875,74958.95309669385,73971.46988224638,74599.86829144022,13530573
2021-03-15,73432.8828125,74420.36656670233,73432.8828125,74330.5953163203,13735798
2021-03-16,74330.5546875,74510.09709012682,73702.15627830617,73791.92747961957,12293537
2021-03-17,73881.71875,74420.34610419198,73612.405072904,74330.57487849332,11625146
2021-03-18,74420.34375,75228.2847557298,74151.0300814234,74330.57252714114,18585244
2021-03-19,73522.6171875,74061.24441964286,73432.84598214286,73702.15959821429,15869700
2021-03-22,73612.4140625,73881.72777248475,73343.10035251525,73612.4140625,12670506
2021-03-23,73432.8828125,74420.36656670233,73432.8828125,74151.05281555624,13299907
2021-03-24,72714.6953125,73253.32268518518,72445.38162615741,72714.6953125,17926638
2021-03-25,72894.2421875,73702.18329548954,72535.15725061577,72714.69971905788,14758826
2021-03-26,73163.5390625,73253.31027607362,72714.6829946319,73073.76784892638,12845778
2021-03-29,73253.3125,73343.08371629902,72714.68520220589,73343.08371629902,14952134
2021-03-30,74119.8515625,74210.02169822081,73308.32034101278,73578.83074817518,13121698
2021-03-31,73398.4921875,74570.70397919226,73398.4921875,74300.19356572483,17240518
2021-04-01,74751.046875,74841.21701598311,73939.51560615198,74390.36631106754,18676461
2021-04-02,76464.2734375,76824.95397258255,75652.74223356428,75742.91236733491,22997538
2021-04-05,77005.28125,77546.30196135832,76464.26053864168,77365.96172423888,16255990
2021-04-06,77546.3046875,77726.6449309593,76734.77359193315,77726.6449309593,19042023
2021-04-07,77185.640625,77726.66147050234,77005.30034316589,77636.49132958527,17885538
2021-04-08,76374.0859375,77275.78707017415,75833.06525789552,77275.78707017415,19244259
2021-04-09,75382.2421875,76554.45408754486,75201.90189518541,76374.11379523027,18193707
2021-04-12,75021.5703125,75833.1017221304,74931.4001558744,75833.1017221304,12915282
2021-04-13,75742.90625,76193.75688244047,74660.86473214286,74841.20498511905,15238206
2021-04-14,75742.90625,76013.41662946428,75201.88549107143,75742.90625,13794652
2021-04-15,75833.09375,76193.77433858502,75201.90271997622,75472.41316141498,16377412
2021-04-16,75652.75,76374.1111442193,75382.23957091775,76374.1111442193,15429522
2021-04-19,75111.71875,75742.90966386555,75111.71875,75562.5694027611,15287311
2021-04-20,75652.75,75742.92014302741,74931.3888557807,75111.72914183552,15521965
2021-04-21,74480.53125,75292.06246216707,74390.36111531476,75111.7221927966,21636079
2021-04-22,74300.203125,74841.22402154126,74300.203125,74751.05387211771,13934746
2021-04-23,74660.8671875,74751.0373169535,73578.82563405797,73849.33602241847,17805080
2021-04-26,75292.0546875,75292.0546875,74480.52355913173,74751.0339352545,15489938
2021-04-27,74751.046875,75111.72743893244,74390.36631106754,75021.55729794933,12941533
2021-04-28,74029.6796875,75021.55115712546,74029.6796875,75021.55115712546,15596759
2021-04-29,73669.0,74390.36107711139,73488.65973072215,74300.19094247246,20000973
2021-04-30,73488.65625,74029.67703220858,73488.65625,73849.33677147239,18673197
2021-05-03,73669.0,74300.19094247246,73037.80905752754,73037.80905752754,15710336
2021-05-04,74480.53125,74480.53125,73759.17017251815,73849.34030720338,12532550
2021-05-06,74210.03125,74210.03125,73669.01036603888,73669.01036603888,17047511
2021-05-07,73849.328125,74029.6683646215,73488.64764575702,73759.15800518925,14154882
2021-05-10,75021.5703125,75292.0807823768,73759.1881197416,74210.0389028696,19385027
2021-05-11,73218.15625,74480.53825431035,73127.98610683497,74390.36811114532,28996680
2021-05-12,72136.1171875,73218.1589453125,71955.77689453126,72857.478359375,35812268
2021-05-13,70783.5390625,71775.41031050956,70693.36894904458,71144.21951632165,31490096
2021-05-14,72226.2734375,72406.61369577091,71144.23188787453,71234.40201700998,16450920
2021-05-17,71775.4375,72947.64941896984,71414.75690954774,72857.47927135677,17740855
2021-05-18,71775.4375,72136.11809045226,71324.58676193467,71775.4375,17494407
2021-05-20,71685.265625,71865.6059158805,71324.58504323899,71595.09547955975,16541828
2021-05-21,72226.2734375,73488.65524539638,71955.76305009364,72226.2734375,20961714
2021-05-24,71865.59375,72496.78466122961,71685.25348964869,72226.27427070263,13398666
2021-05-25,72045.9453125,72496.79603410512,71955.77516817897,72136.11545682102,13628942
2021-05-26,71955.765625,72586.95655153508,71865.59549263785,72496.78641917293,11984359
2021-05-27,71775.4375,72136.11809045226,71324.58676193467,72136.11809045226,23198510
2021-05-28,72226.2734375,72496.78382490636,71595.0825335518,71955.76305009364,12360199
2021-05-31,72586.9453125,72677.11543090062,71775.4142468944,72406.60507569875,13321324
2021-06-01,72677.140625,73308.33167261166,72226.28987670595,72586.9704753412,14058401
2021-06-02,72857.46875,73398.4895575495,72406.61807704208,72496.78821163367,16414644
2021-06-03,74660.8671875,74841.207446407,73127.97498679046,73308.31524569746,29546007
2021-06-04,74119.8515625,74570.70224110402,73488.66061245438,74570.70224110402,18112259
2021-06-07,73849.328125,74660.8592032967,73578.81776556776,74570.68908348595,16496197
2021-06-08,73849.328125,74480.51896367522,73759.15800518925,74210.00860424298,12781226
2021-06-09,73127.96875,73939.4998458693,73127.96875,73488.64923705302,14908823
2021-06-10,73037.8203125,73398.5009066358,72947.65016396606,73308.33075810186,17586995
2021-06-11,73037.8203125,73669.01135223766,72767.30986689815,73218.1606095679,14087962
2021-06-14,72586.9453125,72947.62578610248,72586.9453125,72857.45566770186,10550078
2021-06-15,72947.640625,73218.15103522867,72677.13021477133,72947.640625,10075685
2021-06-16,73759.1875,73849.35765586796,73127.9964089242,73488.67703239608,14999855
2021-06-17,72947.640625,73308.32117197158,72767.30035151422,73127.98089848578,14007385
2021-06-18,72586.9453125,73127.96602290373,72586.9453125,73127.96602290373,14916721
2021-06-21,72045.9453125,72136.11545682102,71775.43487953692,71865.60502385795,16063340
2021-06-22,72136.1171875,72406.62762695312,72045.94704101562,72316.45748046876,11773365
2021-06-23,72226.2734375,72677.12408317727,72045.93317922909,72586.95395404182,13856548
2021-06-24,73218.15625,73398.49653633004,72226.28467518472,72496.7951046798,18771080
2021-06-25,73578.8203125,73849.33068129596,73218.13982077206,73488.65018956801,13481405
2021-06-28,73849.328125,73939.49824481075,73578.81776556776,73668.9878853785,11578529
2021-06-29,73361.1875,74357.45054012346,73180.0487654321,74176.31180555555,15744317
2021-06-30,73089.4921875,73723.47786942379,73089.4921875,73451.76972002788,13288643
2021-07-01,72546.046875,72998.89360955056,72455.47752808989,72908.32426264045,13382882
2021-07-02,72455.4921875,72817.7696484375,72364.92282226562,72455.4921875,8753097
2021-07-05,72817.7578125,73180.03521455223,72455.48041044777,72546.04976096081,8330969
2021-07-06,73542.3125,73542.3125,72908.32704741378,72998.89639778325,12131651
2021-07-07,73180.0234375,73632.8701171875,72727.1767578125,73542.30078125,15992202
2021-07-08,72364.90625,73542.30772841051,72364.90625,73451.7383839174,16660998
2021-07-09,71912.0546875,72274.33204108942,71549.77733391058,72093.19336429471,22720577
2021-07-12,72183.7578125,72455.46580928483,72002.61914797679,72364.89647702321,9768108
2021-07-13,72274.3359375,72636.6133106203,72274.3359375,72455.47462406015,9863450
2021-07-14,72002.640625,72093.20998427672,71640.36318789308,71912.07126572327,11575636
2021-07-15,72998.8984375,72998.8984375,72002.63555559864,72274.34361429901,13766279
2021-07-16,72274.3359375,72546.04396734023,72002.62790765977,72546.04396734023,10859399
2021-07-19,71549.7890625,71730.92776898734,71368.65035601266,71640.35841574367,13155414
2021-07-20,71549.7890625,71549.7890625,71006.37294303798,71096.94229628165,12456646
2021-07-21,71096.9453125,71640.36145501593,71096.9453125,71549.79209792994,12355296
2021-07-22,72183.7578125,72274.32714476161,71459.20315440715,71549.77248666876,12618790
2021-07-23,71821.4921875,72364.90826962485,71730.9228404792,72183.76957558324,9098910
2021-07-26,71368.640625,72002.62601126269,71368.640625,71912.05667036802,10040975
2021-07-27,71096.9453125,71912.06952627389,71096.9453125,71730.93081210191,11427693
2021-07-28,71730.921875,71730.921875,70734.65907118055,70915.79776278409,12743417
2021-07-29,71549.7890625,71912.06647547468,71368.65035601266,71368.65035601266,14360453
2021-07-30,71096.9453125,71459.22274084395,71096.9453125,71459.22274084395,13823411
2021-08-02,71821.4921875,72002.63088154161,71278.07610537516,71730.9228404792,11739124
2021-08-03,73723.4765625,73723.4765625,71821.51955044533,71912.08893197174,24339360
2021-08-04,75081.9921875,75263.13089000301,74085.72932373342,74448.00672873945,25642368
2021-08-05,74357.4453125,75444.27764349879,74266.87595158344,75444.27764349879,18485469
2021-08-06,73814.03125,74719.72488496933,73632.89252300614,74176.30870398773,13342623
2021-08-09,73814.03125,74538.58615797547,73270.61506901841,73814.03125,15522581
2021-08-10,72636.609375,74629.134819202,72546.04003662718,74538.56548082917,20362639
2021-08-11,71096.9453125,72274.34695461782,71096.9453125,72093.20824044586,30241137
2021-08-12,69738.4140625,70825.24648944805,69647.84469358767,69828.98343141234,42365223
2021-08-13,67383.59375,68832.70329301075,67111.88571068548,68651.5646001344,61270643
2021-08-17,67202.453125,68017.5772195081,67021.31443733154,67021.31443733154,30944847
2021-08-18,66930.75,67564.73545331528,66206.19519621109,66930.75,29192631
2021-08-19,66206.1875,67383.58891928864,66206.1875,66568.46485978112,22166298
2021-08-20,65843.9140625,66930.74620658529,65662.77537181912,66568.46882522352,22364803
2021-08-23,66387.328125,67021.31352319237,66115.62009720328,66387.328125,19384648
2021-08-24,68470.4296875,68560.99903893849,66930.75071304564,66930.75071304564,21016913
2021-08-25,68561.0,69376.12417437253,67836.44517833553,69013.84676354029,22319664
2021-08-26,67564.7421875,69013.85193951073,67564.7421875,68923.28258001005,16671494
2021-08-27,67293.015625,67927.00096736204,66840.16895188425,67293.015625,15172748
2021-08-30,67564.7421875,68379.86642300604,67202.46474949732,68289.29706350536,12686999
2021-08-31,69466.6953125,69466.6953125,67293.0307916395,67836.44692185463,24630370
2021-09-01,69557.265625,69828.97369384766,68742.14141845703,69466.69626871745,16114775
2021-09-02,68832.703125,69557.25789473685,68560.99508634869,69557.25789473685,15347486
2021-09-03,69376.125,69466.6943537859,68832.7088772846,69194.9862924282,12096419
2021-09-06,70010.1015625,70281.80958926262,69376.11616672057,69557.25485122898,12861180
2021-09-07,68923.28125,69828.97482752957,68742.14253449408,69828.97482752957,13239401
2021-09-08,69104.4140625,69194.98341251638,68470.42861238532,68832.70601245086,11798147
2021-09-09,68198.7265625,69376.12821630147,67927.01848854581,69194.98950033201,17600770
2021-09-10,68198.7265625,68470.43463645419,67745.87977257636,68198.7265625,10103212
2021-09-13,69104.4140625,69104.4140625,68017.58186230341,68108.15121231979,11397775
2021-09-14,69376.125,70372.38789164492,69376.125,69828.9717689295,18167057
2021-09-15,69738.4140625,70100.69153814936,69194.99784902598,70100.69153814936,12829128
2021-09-16,68923.28125,70100.68290078844,68923.28125,70010.11354303548,13067622
2021-09-17,69919.546875,69919.546875,68742.14517891839,69104.42262386657,16289502
2021-09-23,70100.6875,70281.82622739018,69557.27131782947,70191.25686369509,17055590
2021-09-24,70010.1015625,70372.37893151683,69828.9628779916,70281.80958926262,12247274
2021-09-27,70372.3828125,70372.3828125,69738.39738175676,70010.10542350386,11699798
2021-09-28,69104.4140625,70462.95431274574,69013.84471248362,70372.38496272935,15406382
2021-09-29,67430.9140625,68522.91267079959,67157.9144104251,68067.91325067476,23992458
2021-09-30,67430.9140625,68067.91325067476,67066.91452640013,67612.91383054994,19919361
2021-10-01,66611.9375,67339.9368169399,66338.93775614754,67248.93690232241,15803395
