Date,005930.KS
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,48198.15416666667
2020-03-30,48098.077408854166
2020-03-31,47992.2685546875
2020-04-01,47858.36223958333
2020-04-02,47734.57408854167
2020-04-03,47599.3642578125
2020-04-06,47462.903580729166
2020-04-07,47326.53815104167
2020-04-08,47168.61184895833
2020-04-09,47017.889973958336
2020-04-10,46883.63294270833
2020-04-13,46711.37161458333
2020-04-14,46540.61438802083
2020-04-16,46354.123828125
2020-04-17,46216.517838541666
2020-04-20,46047.307291666664
2020-04-21,45887.30416666667
2020-04-22,45764.55319010417
2020-04-23,45637.51126302083
2020-04-24,45530.4412109375
2020-04-27,45442.01848958333
2020-04-28,45345.755208333336
2020-04-29,45223.7353515625
2020-05-04,45071.52005208333
2020-05-06,44906.5056640625
2020-05-07,44745.73984375
2020-05-08,44594.98619791667
2020-05-11,44435.60852864583
2020-05-12,44260.444075520834
2020-05-13,44091.784895833334
2020-05-14,43899.467122395836
2020-05-15,43709.278971354164
2020-05-18,43557.0951171875
2020-05-19,43420.8033203125
2020-05-20,43283.049609375
2020-05-21,43156.0181640625
2020-05-22,43046.023763020836
2020-05-25,42921.736979166664
2020-05-26,42823.23834635417
2020-05-27,42742.687760416666
2020-05-28,42693.65735677083
2020-05-29,42637.50690104167
2020-06-01,42582.839518229164
2020-06-02,42502.447265625
2020-06-03,42461.0017578125
2020-06-04,42439.59127604167
2020-06-05,42431.14895833333
2020-06-08,42441.237630208336
2020-06-09,42495.73040364583
2020-06-10,42548.78229166667
2020-06-11,42616.736588541666
2020-06-12,42670.89108072917
2020-06-15,42713.349609375
2020-06-16,42811.823958333334
2020-06-17,42949.6431640625
2020-06-18,43053.859635416666
2020-06-19,43208.201432291666
2020-06-22,43285.925065104166
2020-06-23,43330.6875
2020-06-24,43409.221419270834
2020-06-25,43466.194596354166
2020-06-26,43544.7236328125
2020-06-29,43616.773828125
2020-06-30,43722.7234375
2020-07-01,43811.363020833334
2020-07-02,43901.472330729164
2020-07-03,43977.240234375
2020-07-06,44060.347330729164
2020-07-07,44134.654947916664
2020-07-08,44195.9560546875
2020-07-09,44252.194596354166
2020-07-10,44320.6712890625
2020-07-13,44389.21529947917
2020-07-14,44463.5615234375
2020-07-15,44516.381119791666
2020-07-16,44574.87747395833
2020-07-17,44654.32467447917
2020-07-20,44722.22565104167
2020-07-21,44806.082356770836
2020-07-22,44888.44029947917
2020-07-23,44954.89055989583
2020-07-24,45019.189192708334
2020-07-27,45105.2359375
2020-07-28,45256.41217447917
2020-07-29,45403.30423177083
2020-07-30,45555.9603515625
2020-07-31,45692.660481770836
2020-08-03,45819.168229166666
2020-08-04,45960.1330078125
2020-08-05,46085.9298828125
2020-08-06,46235.60748697917
2020-08-07,46380.19381510417
2020-08-10,46515.44329427083
2020-08-11,46634.88138020833
2020-08-12,46770.246484375
2020-08-13,46901.98033854167
2020-08-14,47040.85143229167
2020-08-18,47184.083723958334
2020-08-19,47312.848958333336
2020-08-20,47397.435807291666
2020-08-21,47482.07076822917
2020-08-24,47565.283984375
2020-08-25,47645.6443359375
2020-08-26,47723.12291666667
2020-08-27,47744.3291015625
2020-08-28,47761.1935546875
2020-08-31,47744.7822265625
2020-09-01,47739.9177734375
2020-09-02,47729.30865885417
2020-09-03,47749.151041666664
2020-09-04,47773.2390625
2020-09-07,47839.2001953125
2020-09-08,47971.654557291666
2020-09-09,48068.05768229167
2020-09-10,48174.62395833333
2020-09-11,48276.8484375
2020-09-14,48390.73483072917
2020-09-15,48526.29251302083
2020-09-16,48670.495768229164
2020-09-17,48771.327408854166
2020-09-18,48883.66692708333
2020-09-21,48974.38326822917
2020-09-22,49058.51412760417
2020-09-23,49142.645182291664
2020-09-24,49218.0728515625
2020-09-25,49290.599609375
2020-09-28,49362.517317708334
2020-09-29,49414.127669270834
2020-10-05,49496.2439453125
2020-10-06,49588.540755208334
2020-10-07,49696.873697916664
2020-10-08,49803.73821614583
2020-10-12,49910.66510416667
2020-10-13,50019.087239583336
2020-10-14,50114.45455729167
2020-10-15,50209.741536458336
2020-10-16,50289.0279296875
2020-10-19,50378.51263020833
2020-10-20,50465.1767578125
2020-10-21,50560.54407552083
2020-10-22,50652.93893229167
2020-10-23,50745.34264322917
2020-10-26,50820.3578125
2020-10-27,50843.100260416664
2020-10-28,50848.364908854164
2020-10-29,50840.4943359375
2020-10-30,50826.687760416666
2020-11-02,50840.51276041667
2020-11-03,50867.51770833333
2020-11-04,50895.94635416667
2020-11-05,50934.68932291667
2020-11-06,50977.766015625
2020-11-09,51017.95078125
2020-11-10,51052.333333333336
2020-11-11,51091.1654296875
2020-11-12,51129.9708984375
2020-11-13,51211.03802083333
2020-11-16,51331.54602864583
2020-11-17,51452.00091145833
2020-11-18,51594.13326822917
2020-11-19,51726.0939453125
2020-11-20,51856.6130859375
2020-11-23,52023.64544270833
2020-11-24,52193.596875
2020-11-25,52359.09856770833
2020-11-26,52547.93346354167
2020-11-27,52759.99466145833
2020-11-30,52947.2630859375
2020-12-01,53147.68463541667
2020-12-02,53343.90611979167
2020-12-03,53554.6509765625
2020-12-04,53778.61126302083
2020-12-07,53991.09231770833
2020-12-08,54190.41100260417
2020-12-09,54410.23385416667
2020-12-10,54618.36315104167
2020-12-11,54813.48203125
2020-12-14,55005.73541666667
2020-12-15,55197.98880208333
2020-12-16,55412.0001953125
2020-12-17,55621.615625
2020-12-18,55828.303515625
2020-12-21,56049.496744791664
2020-12-22,56254.67135416667
2020-12-23,56494.8017578125
2020-12-24,56790.4001953125
2020-12-28,57089.5888671875
2020-12-29,57411.69915364583
2020-12-30,57766.90930989583
