Date,005930.KS
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,47853.446875
2020-01-09,48437.02578125
2020-01-10,49123.58671875
2020-01-13,49895.96953125
2020-01-14,50616.86171875
2020-01-15,50994.4703125
2020-01-16,51354.91484375
2020-01-17,51663.87109375
2020-01-20,52075.80546875
2020-01-21,52316.10234375
2020-01-22,52882.51640625
2020-01-23,52899.68046875
2020-01-28,52470.57578125
2020-01-29,51904.1625
2020-01-30,51183.27109375
2020-01-31,50170.5890625
2020-02-03,49552.6828125
2020-02-04,49569.846875
2020-02-05,49638.50390625
2020-02-06,50307.903125
2020-02-07,50994.465625
2020-02-10,51423.5671875
2020-02-11,51595.2078125
2020-02-12,51766.85078125
2020-02-13,51698.19375
2020-02-14,51938.49296875
2020-02-17,52247.446875
2020-02-18,52230.28203125
2020-02-19,52178.7890625
2020-02-20,52058.64140625
2020-02-21,51612.37578125
2020-02-24,50805.66484375
2020-02-25,50479.5484375
2020-02-26,49844.478125
2020-02-27,49140.7484375
2020-02-28,48282.54453125
2020-03-02,47973.590625
2020-03-03,47544.48984375
2020-03-04,47698.9640625
2020-03-05,48025.08203125
2020-03-06,48419.85703125
2020-03-09,48677.31875
2020-03-10,48540.00546875
2020-03-11,47630.31015625
2020-03-12,46651.95859375
2020-03-13,45527.709375
2020-03-16,44223.240625
2020-03-17,42970.2625
2020-03-18,41854.5953125
2020-03-19,40284.08046875
2020-03-20,39503.1171875
2020-03-23,38404.61484375
2020-03-24,38344.5421875
2020-03-25,38868.0484375
2020-03-26,39700.5078125
2020-03-27,40198.26484375
2020-03-30,41177.18125
2020-03-31,41375.00390625
2020-04-01,40943.86953125
2020-04-02,40831.53828125
2020-04-03,40667.96796875
2020-04-06,40814.93984375
2020-04-07,41134.821875
2020-04-08,41618.96484375
2020-04-09,42016.65234375
2020-04-10,42405.69453125
2020-04-13,42336.53125
2020-04-14,42232.7859375
2020-04-16,42301.94921875
2020-04-17,42699.63671875
2020-04-20,42846.60859375
2020-04-21,43010.87109375
2020-04-22,43157.84140625
2020-04-23,43304.81171875
2020-04-24,42950.3515625
2020-04-27,42907.1234375
2020-04-28,43054.0953125
2020-04-29,43080.0328125
2020-05-04,42846.609375
2020-05-06,42820.6765625
2020-05-07,42639.121875
2020-05-08,42414.3390625
2020-05-11,42137.6859375
2020-05-12,42033.9390625
2020-05-13,41921.54453125
2020-05-14,41783.2203125
2020-05-15,41618.96015625
2020-05-18,41688.12109375
2020-05-19,42103.1
2020-05-20,42353.81796875
2020-05-21,42690.98828125
2020-05-22,42846.60234375
2020-05-25,42855.25078125
2020-05-26,42673.6984375
2020-05-27,42656.40625
2020-05-28,42734.21484375
2020-05-29,43071.38828125
2020-06-01,43477.7203125
2020-06-02,43849.47109375
2020-06-03,44644.85
2020-06-04,45371.0640625
2020-06-05,46201.0234375
2020-06-08,46840.7828125
2020-06-09,47549.7078125
2020-06-10,47705.325
2020-06-11,47653.453125
2020-06-12,47100.14609375
2020-06-15,46235.60625
2020-06-16,45647.71796875
2020-06-17,45094.4109375
2020-06-18,44748.59375
2020-06-19,44852.3390625
2020-06-22,45215.44765625
2020-06-23,45094.4109375
2020-06-24,45215.446875
2020-06-25,45146.284375
2020-06-26,45215.44765625
2020-06-29,45345.1890625
2020-06-30,45648.30078125
2020-07-01,45657.2375
2020-07-02,45891.30078125
2020-07-03,46005.1390625
2020-07-06,46457.70390625
2020-07-07,46562.14296875
2020-07-08,46631.76875
2020-07-09,46614.36171875
2020-07-10,46457.70390625
2020-07-13,46179.2015625
2020-07-14,46248.828125
2020-07-15,46544.7375
2020-07-16,46718.803125
2020-07-17,47014.71171875
2020-07-20,47153.965625
2020-07-21,47415.06171875
2020-07-22,47415.06171875
2020-07-23,47467.28046875
2020-07-24,47432.46953125
2020-07-27,47676.15625
2020-07-28,48250.5671875
2020-07-29,48999.04375
2020-07-30,49851.959375
2020-07-31,50495.99453125
2020-08-03,50704.8734375
2020-08-04,50478.5890625
2020-08-05,50113.05234375
2020-08-06,49938.9859375
2020-08-07,49869.36015625
2020-08-10,50043.421875
2020-08-11,50200.08046875
2020-08-12,50565.6171875
2020-08-13,50687.4625
2020-08-14,50774.49375
2020-08-18,50878.9359375
2020-08-19,50809.309375
2020-08-20,50182.678125
2020-08-21,49695.3
2020-08-24,49364.57890625
2020-08-25,49016.44765625
2020-08-26,48772.75859375
2020-08-27,48807.56953125
2020-08-28,48720.5375
2020-08-31,48355.00234375
2020-09-01,47972.0640625
2020-09-02,47623.93671875
2020-09-03,47763.18828125
2020-09-04,47797.99921875
2020-09-07,48233.16171875
2020-09-08,49016.44765625
2020-09-09,49712.70625
2020-09-10,50200.0859375
2020-09-11,50791.90625
2020-09-14,51470.7546875
2020-09-15,51871.103125
2020-09-16,52323.66796875
2020-09-17,52375.88828125
2020-09-18,52428.10625
2020-09-21,52219.22890625
2020-09-22,51731.8484375
2020-09-23,51314.09375
2020-09-24,51018.1828125
2020-09-25,50774.49296875
2020-09-28,50662.74765625
2020-09-29,50725.06640625
2020-10-05,50805.328125
2020-10-06,51077.38359375
2020-10-07,51489.65078125
2020-10-08,51752.3546875
2020-10-12,52137.65078125
2020-10-13,52522.94765625
2020-10-14,52855.703125
2020-10-15,52873.2171875
2020-10-16,52838.18828125
2020-10-19,52768.1359375
2020-10-20,52768.1359375
2020-10-21,52768.1359375
2020-10-22,52785.64921875
2020-10-23,52908.24609375
2020-10-26,52978.2984375
2020-10-27,52785.64921875
2020-10-28,52452.89375
2020-10-29,52102.62421875
2020-10-30,51472.1359375
2020-11-02,50946.7328125
2020-11-03,50771.5984375
2020-11-04,50684.0296875
2020-11-05,51069.32578125
2020-11-06,51682.29921875
2020-11-09,52172.678125
2020-11-10,52417.86796875
2020-11-11,52908.24609375
2020-11-12,53030.84140625
2020-11-13,53573.7578125
2020-11-16,54642.07890625
2020-11-17,55605.3203125
2020-11-18,56218.2921875
2020-11-19,56848.7765625
2020-11-20,57111.4796875
2020-11-23,57321.640625
2020-11-24,57671.91015625
2020-11-25,57987.153125
2020-11-26,58582.61171875
2020-11-27,59195.58125
2020-11-30,59055.47578125
2020-12-01,59072.98984375
2020-12-02,59580.87890625
2020-12-03,59878.609375
2020-12-04,60456.5609375
2020-12-07,61542.3984375
2020-12-08,62225.42265625
2020-12-09,62996.01875
2020-12-10,63556.45234375
2020-12-11,63889.20390625
2020-12-14,64046.8203125
2020-12-15,64414.6015625
2020-12-16,64397.084375
2020-12-17,64467.1359375
