Date,005930.KS
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,49423.95859375
2020-01-16,49895.9703125
2020-01-17,50393.72890625
2020-01-20,50985.8875
2020-01-21,51466.48203125
2020-01-22,51938.493359375
2020-01-23,52127.29765625
2020-01-28,52067.2234375
2020-01-29,51989.983984375
2020-01-30,51749.68671875
2020-01-31,51526.552734375
2020-02-03,51226.181640625
2020-02-04,51020.211328125
2020-02-05,50771.333203125
2020-02-06,50745.587109375
2020-02-07,50582.52734375
2020-02-10,50488.125
2020-02-11,50582.52734375
2020-02-12,50702.67734375
2020-02-13,51003.0484375
2020-02-14,51466.479296875
2020-02-17,51835.50703125
2020-02-18,51912.744921875
2020-02-19,51972.819921875
2020-02-20,51878.417578125
2020-02-21,51775.434375
2020-02-24,51526.555859375
2020-02-25,51354.915234375
2020-02-26,51011.63359375
2020-02-27,50599.694921875
2020-02-28,49947.46015625
2020-03-02,49389.627734375
2020-03-03,49012.019140625
2020-03-04,48771.72109375
2020-03-05,48582.915234375
2020-03-06,48351.20078125
2020-03-09,48325.4546875
2020-03-10,48042.24765625
2020-03-11,47664.637109375
2020-03-12,47338.5203125
2020-03-13,46973.783203125
2020-03-16,46450.2796875
2020-03-17,45755.133984375
2020-03-18,44742.452734375
2020-03-19,43468.01953125
2020-03-20,42515.41328125
2020-03-23,41313.927734375
2020-03-24,40657.40234375
2020-03-25,40361.321875
2020-03-26,39992.294140625
2020-03-27,39850.691015625
2020-03-30,39790.898046875
2020-03-31,39859.773046875
2020-04-01,39905.958984375
2020-04-02,40266.023046875
2020-04-03,40433.11640625
2020-04-06,40996.060546875
2020-04-07,41254.912890625
2020-04-08,41281.4171875
2020-04-09,41424.0953125
2020-04-10,41536.83125
2020-04-13,41575.735546875
2020-04-14,41683.80390625
2020-04-16,41960.45703125
2020-04-17,42358.14453125
2020-04-20,42626.1515625
2020-04-21,42673.701171875
2020-04-22,42695.313671875
2020-04-23,42803.38046875
2020-04-24,42824.994140625
2020-04-27,42876.866015625
2020-04-28,43032.483203125
2020-04-29,43118.937109375
2020-05-04,43075.710546875
2020-05-06,42885.5140625
2020-05-07,42773.12265625
2020-05-08,42734.2171875
2020-05-11,42608.859375
2020-05-12,42440.27421875
2020-05-13,42371.110546875
2020-05-14,42211.17109375
2020-05-15,42016.649609375
2020-05-18,41912.903515625
2020-05-19,42068.51953125
2020-05-20,42137.68125
2020-05-21,42237.104296875
2020-05-22,42232.78125
2020-05-25,42271.6859375
2020-05-26,42388.39921875
2020-05-27,42505.112109375
2020-05-28,42712.6015625
2020-05-29,42958.9953125
2020-06-01,43166.485546875
2020-06-02,43261.584765625
2020-06-03,43650.628125
2020-06-04,44052.639453125
2020-06-05,44636.205859375
2020-06-08,45159.2515625
2020-06-09,45699.589453125
2020-06-10,46175.0875
2020-06-11,46512.25859375
2020-06-12,46650.584765625
2020-06-15,46538.19453125
2020-06-16,46598.712890625
2020-06-17,46399.86796875
2020-06-18,46201.0234375
2020-06-19,45976.242578125
2020-06-22,45725.526953125
2020-06-23,45371.064453125
2020-06-24,45154.92890625
2020-06-25,44947.4390625
2020-06-26,45033.893359375
2020-06-29,45280.318359375
2020-06-30,45371.355859375
2020-07-01,45436.3421875
2020-07-02,45518.792578125
2020-07-03,45610.293359375
2020-07-06,45901.446484375
2020-07-07,46105.221875
2020-07-08,46144.503125
2020-07-09,46252.83125
2020-07-10,46231.421484375
2020-07-13,46318.452734375
2020-07-14,46405.485546875
2020-07-15,46588.253125
2020-07-16,46666.582421875
2020-07-17,46736.2078125
2020-07-20,46666.58359375
2020-07-21,46831.944921875
2020-07-22,46979.899609375
2020-07-23,47093.041796875
2020-07-24,47223.590625
2020-07-27,47415.0609375
2020-07-28,47832.814453125
2020-07-29,48207.052734375
2020-07-30,48659.619921875
2020-07-31,48964.23203125
2020-08-03,49190.51484375
2020-08-04,49364.578125
2020-08-05,49556.048046875
2020-08-06,49895.47265625
2020-08-07,50182.67734375
2020-08-10,50374.14765625
2020-08-11,50339.334765625
2020-08-12,50339.334765625
2020-08-13,50313.22421875
2020-08-14,50321.926953125
2020-08-18,50461.17890625
2020-08-19,50504.694921875
2020-08-20,50374.14765625
2020-08-21,50191.38125
2020-08-24,50069.536328125
2020-08-25,49947.691796875
2020-08-26,49791.033984375
2020-08-27,49495.123828125
2020-08-28,49207.91875
2020-08-31,48859.790625
2020-09-01,48494.255859375
2020-09-02,48198.34765625
2020-09-03,48285.37890625
2020-09-04,48259.268359375
2020-09-07,48294.08203125
2020-09-08,48494.255859375
2020-09-09,48668.321484375
2020-09-10,48981.637109375
2020-09-11,49294.952734375
2020-09-14,49851.958203125
2020-09-15,50443.775390625
2020-09-16,51018.187109375
2020-09-17,51287.987109375
2020-09-18,51610.00625
2020-09-21,51844.991796875
2020-09-22,51801.47578125
2020-09-23,51818.880859375
2020-09-24,51697.035546875
2020-09-25,51601.299609375
2020-09-28,51440.98828125
2020-09-29,51228.457421875
2020-10-05,51059.7109375
2020-10-06,51047.783203125
2020-10-07,51132.071875
2020-10-08,51207.551171875
2020-10-12,51431.35859375
2020-10-13,51664.137890625
2020-10-14,51966.543359375
2020-10-15,52181.433984375
2020-10-16,52295.271484375
2020-10-19,52452.893359375
2020-10-20,52645.541796875
2020-10-21,52811.91953125
2020-10-22,52829.433203125
2020-10-23,52873.2171875
2020-10-26,52873.2171875
2020-10-27,52776.892578125
2020-10-28,52610.51484375
2020-10-29,52444.13671875
2020-10-30,52190.191015625
2020-11-02,51962.515625
2020-11-03,51778.623828125
2020-11-04,51568.46171875
2020-11-05,51585.975
2020-11-06,51577.217578125
2020-11-09,51559.70546875
2020-11-10,51594.733203125
2020-11-11,51796.137890625
2020-11-12,52050.08359375
2020-11-13,52628.028515625
2020-11-16,53407.378515625
2020-11-17,54011.594140625
2020-11-18,54563.269140625
2020-11-19,54939.808984375
2020-11-20,55342.61875
2020-11-23,55981.859765625
2020-11-24,56638.615234375
2020-11-25,57102.72265625
2020-11-26,57715.694140625
2020-11-27,58153.53046875
2020-11-30,58188.558203125
2020-12-01,58372.45
2020-12-02,58784.016015625
2020-12-03,59230.610546875
2020-12-04,59826.07109375
2020-12-07,60298.937109375
2020-12-08,60649.20625
2020-12-09,61288.448828125
2020-12-10,61717.530859375
2020-12-11,62172.882421875
2020-12-14,62794.609375
2020-12-15,63320.012109375
2020-12-16,63696.5515625
2020-12-17,64011.794140625
