new_year,entity,er_fsh_aqua_mt,er_fsh_capt_mt
2023-01-01,Chad,125.0,109000.0
2023-01-01,Sint Maarten (Dutch part),0.0,253.0
2023-01-01,Singapore,4207.03,1974.0
2023-01-01,Palau,11.0,803.31
2023-01-01,Equatorial Guinea,19.0,7228.452
2023-01-01,Palestine,631.0,3260.0
2023-01-01,Panama,14742.67,219485.56
2023-01-01,El Salvador,13418.0,55759.07
2023-01-01,Papua New Guinea,2552.0,229183.95
2023-01-01,Eritrea,4.0,1861.932
2023-01-01,Egypt,1552430.0,448718.0
2023-01-01,Ecuador,1234088.0,694987.25
2023-01-01,Peru,105082.3,3519380.8
2023-01-01,East Timor,1165.0,7967.31
2023-01-01,Philippines,2384023.5,1717841.8
2023-01-01,Poland,40666.523,171783.39
2023-01-01,Dominican Republic,3820.0,17286.0
2023-01-01,Paraguay,20150.0,17975.0
2023-01-01,Portugal,22447.545,163560.08
2023-01-01,Pakistan,168700.0,509998.0
2023-01-01,Oman,5093.0,677365.0
2023-01-01,Nicaragua,32040.0,56548.0
2023-01-01,France,186568.78,472221.94
2023-01-01,Niger,494.0,49371.56
2023-01-01,Finland,15168.6,128717.0
2023-01-01,Nigeria,258800.0,799635.0
2023-01-01,Fiji,542.3,32413.43
2023-01-01,Estonia,918.461,76695.234
2023-01-01,Faroe Islands,98245.0,792468.4
2023-01-01,Albania,9327.0,10011.0
2023-01-01,North Macedonia,1873.2,435.0
2023-01-01,Northern Mariana Islands,41.0,72.307
2023-01-01,Ethiopia,2740.0,131400.0
2023-01-01,Norway,1649984.1,2546846.2
2023-01-01,Eswatini,60.0,65.0
2023-01-01,North Korea,680700.0,208130.0
2023-01-01,Dominica,2.0,369.0
2023-01-01,Puerto Rico,11.0,2149.0
2023-01-01,Djibouti,0.0,3185.8
2023-01-01,Cote d'Ivoire,8806.0,78422.47
2023-01-01,San Marino,0.0,0.0
2023-01-01,Costa Rica,16467.64,33935.0
2023-01-01,Sao Tome and Principe,0.0,5647.747
2023-01-01,Congo,1657.0,60230.1
2023-01-01,Saudi Arabia,138823.0,69055.0
2023-01-01,Samoa,13.254,10360.55
2023-01-01,Comoros,0.0,13883.302
2023-01-01,Colombia,202960.0,193984.81
2023-01-01,Serbia,5806.37,2470.0
2023-01-01,China,78276940.0,13424705.0
2023-01-01,Seychelles,28.8,139172.84
2023-01-01,Sierra Leone,185.0,206900.0
2023-01-01,Chile,1502919.0,2596488.5
2023-01-01,Senegal,3801.1,521653.28
2023-01-01,Vietnam,5378859.5,3417238.5
2023-01-01,Croatia,26823.902,56198.406
2023-01-01,Saint Vincent and the Grenadines,13.0,1311.694
2023-01-01,Qatar,69.32,18970.4
2023-01-01,Kuwait,464.0,2808.0
2023-01-01,Denmark,33135.4,495289.38
2023-01-01,Romania,11264.3,6613.72
2023-01-01,Democratic Republic of Congo,5510.0,261800.0
2023-01-01,Algeria,5258.0,77110.0
2023-01-01,Russia,365269.0,5398032.0
2023-01-01,Rwanda,7302.0,31600.0
2023-01-01,Czechia,18613.0,3369.0
2023-01-01,Saint Kitts and Nevis,4.0,675.0
2023-01-01,Cyprus,5700.2,1223.843
2023-01-01,Saint Lucia,157.32,1852.597
2023-01-01,Curacao,0.0,2250.296
2023-01-01,Saint Martin (French part),0.0,180.0
2023-01-01,Cuba,12823.82,13415.58
2023-01-01,French Polynesia,1246.5,12818.53
2023-01-01,Zimbabwe,8714.55,92005.0
